target_id,category,length_bucket,mode,role,status,error,prompt_tokens,calibration_bank_sha256,logical_byte_saving_fraction,missing_tokens,missing_mse,missing_mae,missing_max_abs,max_abs_logit_diff,mean_abs_logit_diff,argmax_match,original_argmax,restored_argmax,artifact
math,mathematical_reasoning,medium,correlated_same_layer_target,baseline,success,,51,,0.17288165266106442,1975,6.6390464437234495,1.2833169758253837,125.0,4.125,0.6339895725250244,True,11,11,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/math/correlated_same_layer_target
math,mathematical_reasoning,medium,repeat_last_target,baseline,success,,51,,0.17288165266106442,1975,12.712201576418664,1.688242983493624,184.0,3.96875,0.6407210826873779,True,11,11,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/math/repeat_last_target
ood,out_of_distribution,medium,calibration_holdout,trained,success,,52,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17633928571428573,2054,12.616127001650957,1.6347563596498567,214.0,5.5625,0.9501519799232483,True,4226,4226,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/ood/calibration_holdout
ood,out_of_distribution,medium,correlated_same_layer_target,baseline,success,,52,,0.17633928571428573,2054,7.208044088926873,1.2750621490296568,180.0,3.6875,0.5660260319709778,False,4226,4396,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/ood/correlated_same_layer_target
ood,out_of_distribution,medium,repeat_last_target,baseline,success,,52,,0.17633928571428573,2054,11.331009012080692,1.5913426509415396,256.0,4.1875,0.5773848295211792,True,4226,4226,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/ood/repeat_last_target
repetitive,repetitive_text,long,calibration_holdout,trained,success,,202,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17633928571428573,7979,14.884693199909357,1.7231691410943168,249.0,15.875,2.321333408355713,False,785,13,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/repetitive/calibration_holdout
repetitive,repetitive_text,long,correlated_same_layer_target,baseline,success,,202,,0.17633928571428573,7979,4.439373941327945,1.0438909217008396,204.0,3.21875,0.5488048791885376,True,785,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/repetitive/correlated_same_layer_target
repetitive,repetitive_text,long,repeat_last_target,baseline,success,,202,,0.17633928571428573,7979,9.0552982253869,1.3998003574970632,228.0,3.4375,0.5719982385635376,True,785,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/repetitive/repeat_last_target
short_fact,short_factual,short,calibration_holdout,trained,success,,31,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17065092165898618,1185,12.414730228855017,1.6362714161286878,168.0,6.8125,1.230055570602417,False,785,16141,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/short_fact/calibration_holdout
short_fact,short_factual,short,correlated_same_layer_target,baseline,success,,31,,0.17065092165898618,1185,6.389934795554479,1.242778932092562,158.0,3.40625,0.5792307257652283,False,785,16141,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/short_fact/correlated_same_layer_target
short_fact,short_factual,short,repeat_last_target,baseline,success,,31,,0.17065092165898618,1185,12.420495208252,1.6378166258775233,234.0,4.8125,0.9031923413276672,False,785,334,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/short_fact/repeat_last_target
structured,structured_text,short,calibration_holdout,trained,success,,36,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17633928571428573,1422,13.831963031778123,1.5936547411309683,324.0,5.25,0.9216321706771851,True,785,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/structured/calibration_holdout
structured,structured_text,short,correlated_same_layer_target,baseline,success,,36,,0.17633928571428573,1422,7.0926455710229055,1.2538355068734595,254.0,4.75,0.7945890426635742,True,785,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/structured/correlated_same_layer_target
structured,structured_text,short,repeat_last_target,baseline,success,,36,,0.17633928571428573,1422,19.15928834394636,1.910201061679425,245.0,3.203125,0.5239846706390381,True,785,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/structured/repeat_last_target
