variant=repetitive model=/data00/home/sitian/.ms_cache/Qwen/Qwen3-8B seq_len=8192 model_answered_correctly=True
classification=DISCRIMINATIVE
layer  gran    k/L  quest_ph  quest_sh  oracle  best_bad   margin  needle  disc
   35    64  10.9%    0.9484    0.9496  0.9536    0.9408  +0.0076   1.000    no
   35    64  25.0%    0.9605    0.9610  0.9688    0.9483  +0.0122   1.000    no
   35    64  50.0%    0.9768    0.9761  0.9851    0.9629  +0.0139   1.000    no
   35    32   2.0%    0.9305    0.9338  0.9361    0.9276  +0.0029   0.625    no
   35    32   5.1%    0.9409    0.9409  0.9454    0.9321  +0.0088   0.875    no
   35    32  10.9%    0.9484    0.9498  0.9554    0.9367  +0.0117   1.000    no
   35    32  25.0%    0.9611    0.9625  0.9707    0.9443  +0.0168   1.000    no
   35    32  50.0%    0.9786    0.9796  0.9856    0.9594  +0.0192   1.000    no

wrote /data00/home/sitian/tllm/selector-fidelity-runs/selector-fidelity-20260916-2248/fidelity-repetitive.json
